Country,Month,Electricity_Consumption,Month_Num,Year,Formatted_Date,Image_Filename,Image_Exists
United States of America,M8,435570,8,2024,M8 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M8.jpg,True
United States of America,M7,439020,7,2024,M7 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M7.jpg,True
United States of America,M6,398190,6,2024,M6 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M6.jpg,True
United States of America,M5,354300,5,2024,M5 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M5.jpg,True
United States of America,M4,317740,4,2024,M4 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M4.jpg,True
United States of America,M3,330810,3,2024,M3 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M3.jpg,True
United States of America,M2,325670,2,2024,M2 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M2.jpg,True
United States of America,M1,384450,1,2024,M1 2024,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2024_M1.jpg,True
United States of America,M12,350790,12,2023,M12 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M12.jpg,True
United States of America,M11,327050,11,2023,M11 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M11.jpg,True
United States of America,M10,335480,10,2023,M10 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M10.jpg,True
United States of America,M9,365200,9,2023,M9 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M9.jpg,True
United States of America,M8,431060,8,2023,M8 2023,D:\All_new_jpeg\United States of America\USnew\USdetails\NOAA_VIIRS_Y2023_M8.jpg,True
